C3,C4,C5,C6,C7,C8,Pressure,LH
0.0694,0.0094,0.0938,0.4690,0.3263,0.0321,12.5764,25.9793
0.4775,0.2166,0.0987,0.1612,0.0459,0.0001,11.7423,24.6677
0.0756,0.0076,0.2028,0.1748,0.1560,0.3832,17.5334,26.7145
0.0326,0.2202,0.0796,0.3091,0.2446,0.1139,17.8003,24.3544
0.1860,0.1806,0.1361,0.3168,0.0157,0.1648,17.7849,28.0494
0.1804,0.0149,0.1665,0.3958,0.1877,0.0547,16.7285,26.9516
0.5223,0.0687,0.2255,0.0123,0.0419,0.1293,4.2901,33.9281
0.0019,0.1849,0.1169,0.1298,0.0795,0.4870,10.7479,33.2037
0.2137,0.2892,0.0690,0.1033,0.0308,0.2940,15.5146,33.9197
0.0259,0.0475,0.7446,0.0044,0.0423,0.1353,5.0124,30.2313
0.0251,0.4199,0.5007,0.0357,0.0068,0.0118,1.8454,27.0927
0.1101,0.0576,0.3365,0.2690,0.0909,0.1359,7.5374,32.7526
0.3062,0.1770,0.3115,0.0399,0.1226,0.0428,14.1386,27.1897
0.0340,0.2236,0.2690,0.0204,0.0921,0.3609,15.9862,30.0684
0.2277,0.0786,0.1234,0.1024,0.3994,0.0685,13.4201,33.5393
0.0690,0.2488,0.0579,0.5521,0.0223,0.0499,15.5021,24.0084
0.2679,0.0283,0.0040,0.0142,0.3095,0.3761,7.5340,46.3826
0.1196,0.3093,0.0247,0.0980,0.4366,0.0118,15.0633,29.3051
0.1680,0.0707,0.0628,0.0469,0.1655,0.4861,12.9178,39.2826
0.5514,0.1289,0.1142,0.0936,0.0132,0.0987,1.7259,33.1454
0.2041,0.0046,0.4223,0.3268,0.0346,0.0076,14.0219,24.8596
0.1192,0.0635,0.2392,0.0874,0.2987,0.1920,5.2536,38.8293
0.3789,0.3010,0.1183,0.0571,0.0605,0.0842,5.4451,31.5354
0.3237,0.1271,0.0467,0.2955,0.1173,0.0897,2.8430,37.7885
0.1035,0.0766,0.3399,0.0216,0.4576,0.0008,15.2724,26.7462
0.1652,0.2949,0.0475,0.1677,0.0244,0.3003,8.5555,37.7978
0.1634,0.2377,0.0233,0.1438,0.2230,0.2088,9.9364,36.8751
0.1956,0.2932,0.1717,0.2030,0.0057,0.1308,15.9983,27.5967
0.0551,0.4665,0.2900,0.0934,0.0638,0.0312,19.1392,20.0844
0.0380,0.1411,0.3175,0.2375,0.1985,0.0674,16.1065,23.8369
0.2013,0.0011,0.0458,0.6358,0.0848,0.0312,17.4904,25.3880
0.2217,0.3021,0.0667,0.0322,0.1380,0.2393,18.3941,31.8857
0.1567,0.3117,0.2362,0.2549,0.0010,0.0395,16.4827,23.0724
0.0920,0.1891,0.2597,0.1266,0.2332,0.0994,8.5292,32.4788
0.4737,0.0507,0.1877,0.0484,0.0241,0.2154,3.1027,38.3962
0.0678,0.1649,0.0609,0.3302,0.2351,0.1411,11.3564,30.7603
0.1633,0.1694,0.0163,0.2173,0.3545,0.0792,17.4838,29.1649
0.0401,0.3163,0.4431,0.0922,0.0301,0.0782,14.6239,23.5405
0.1128,0.1844,0.1103,0.3126,0.1904,0.0895,18.0037,25.9246
0.3768,0.0349,0.3214,0.0891,0.0664,0.1114,6.4776,34.3016
0.0044,0.3364,0.0796,0.0017,0.3227,0.2552,2.4587,40.3636
0.1031,0.0318,0.1005,0.3909,0.0682,0.3055,1.8046,42.9328
0.5494,0.0453,0.0553,0.0184,0.0207,0.3109,4.4749,40.7764
0.1417,0.2378,0.1449,0.1767,0.1710,0.1279,1.2004,39.4440
0.0926,0.0067,0.0950,0.3471,0.1565,0.3021,16.4309,27.1964
0.2748,0.3725,0.0171,0.1809,0.0048,0.1499,17.2042,28.2802
0.0232,0.2557,0.0163,0.2302,0.1792,0.2954,3.0539,39.9173
0.3129,0.1604,0.2119,0.0389,0.1142,0.1617,15.9161,31.3977
0.0503,0.3713,0.4329,0.0658,0.0406,0.0391,13.5147,22.7254
0.1286,0.2546,0.0198,0.0301,0.0665,0.5004,3.6585,46.3582
0.0604,0.0766,0.1033,0.3897,0.2174,0.1526,8.0039,32.2479
0.1681,0.2705,0.0432,0.1169,0.2125,0.1888,10.7288,35.6066
0.1985,0.2837,0.0239,0.0825,0.0013,0.4101,11.8026,39.0589
0.1436,0.2057,0.4014,0.0738,0.0625,0.1130,11.7125,28.9148
0.0252,0.2445,0.0997,0.1489,0.1101,0.3716,7.5460,36.8184
0.4214,0.1241,0.0371,0.0755,0.1044,0.2375,18.2136,34.1540
0.1193,0.0867,0.0400,0.0517,0.3345,0.3678,17.2242,31.0634
0.0187,0.2148,0.3881,0.0407,0.2953,0.0424,12.7740,26.1679
0.1136,0.0633,0.0445,0.1473,0.0832,0.5481,19.7049,28.5663
0.0189,0.6236,0.0942,0.1671,0.0254,0.0708,16.5399,22.6478
0.1849,0.0502,0.1269,0.0468,0.4787,0.1125,5.4083,40.7169
0.2692,0.0940,0.0282,0.4079,0.0084,0.1923,18.0232,30.5083
0.0213,0.0895,0.1574,0.2446,0.1460,0.3412,10.1160,31.2684
0.1505,0.0376,0.4953,0.2442,0.0019,0.0705,9.5866,28.2963
0.0335,0.1153,0.1772,0.0850,0.3932,0.1958,8.1953,33.3192
0.0952,0.6291,0.2277,0.0264,0.0085,0.0131,16.6848,18.2125
0.2183,0.2926,0.2121,0.1924,0.0107,0.0739,13.0957,27.0042
0.1003,0.0672,0.2340,0.4295,0.0766,0.0924,4.8295,33.6858
0.0394,0.1035,0.1819,0.1408,0.0697,0.4647,11.7658,32.8983
0.1723,0.1035,0.0516,0.2395,0.1012,0.3319,11.8313,37.1253
0.3595,0.0023,0.1923,0.1767,0.2556,0.0136,12.3418,32.0362
0.1237,0.3191,0.1251,0.1426,0.0339,0.2556,6.5152,36.9391
0.0506,0.7295,0.0247,0.0563,0.0237,0.1152,9.5584,27.7867
0.2020,0.0232,0.1766,0.2572,0.2768,0.0642,9.4417,34.2239
0.3222,0.1865,0.1645,0.2621,0.0367,0.0280,11.7301,27.6138
0.0758,0.2627,0.0487,0.2521,0.1663,0.1944,10.1670,33.4551
0.1985,0.4525,0.0273,0.0243,0.1312,0.1662,14.5052,31.0551
0.3655,0.0466,0.1036,0.1135,0.1289,0.2419,1.4727,43.2492
0.1639,0.0976,0.4133,0.0819,0.1143,0.1290,11.9995,30.5113
0.2846,0.2288,0.0634,0.0359,0.3504,0.0369,10.9941,33.4986
0.1030,0.1020,0.1704,0.2462,0.1542,0.2242,1.5222,41.8796
0.0688,0.1404,0.0762,0.1433,0.2450,0.3263,11.6475,33.8384
0.0792,0.0276,0.1358,0.0631,0.5714,0.1229,11.2876,30.9851
0.0220,0.0943,0.0250,0.3179,0.3978,0.1430,18.0868,21.6644
0.7228,0.0729,0.0000,0.0039,0.1588,0.0416,4.4472,30.5862
0.0897,0.0231,0.3175,0.1053,0.2092,0.2552,16.9046,27.6676
0.5223,0.2152,0.0123,0.0757,0.0271,0.1474,11.1983,31.3363
0.3480,0.1859,0.0658,0.0532,0.0627,0.2844,8.2291,39.3117
0.0016,0.1392,0.4253,0.2757,0.0238,0.1344,14.1252,23.9814
0.6288,0.1018,0.0167,0.0091,0.1589,0.0847,18.4416,28.3837
0.3766,0.0532,0.2548,0.0557,0.1220,0.1377,8.7800,35.1496
0.2528,0.1821,0.2982,0.1841,0.0122,0.0706,8.2835,30.0010
0.2318,0.1044,0.1591,0.1484,0.1709,0.1854,9.5972,36.7285
0.1916,0.0617,0.0513,0.1240,0.3460,0.2254,10.3531,38.5457
0.2405,0.1038,0.1198,0.1234,0.0622,0.3503,1.6167,45.3803
0.0206,0.0305,0.0429,0.0390,0.3491,0.5179,8.4770,31.0302
0.2943,0.0310,0.0368,0.4936,0.0720,0.0723,4.7947,36.8174
0.0321,0.1287,0.2625,0.0144,0.2604,0.3019,4.1296,38.6796
0.0304,0.2212,0.2644,0.2507,0.2232,0.0101,9.7194,27.3115
0.0580,0.1492,0.2974,0.1172,0.1118,0.2664,8.1686,34.5587
0.0475,0.1400,0.0756,0.2100,0.2031,0.3238,5.5272,38.1210
0.2498,0.0851,0.1842,0.2588,0.0748,0.1473,13.9310,31.8037
0.1110,0.2281,0.1978,0.0280,0.3393,0.0958,5.1641,36.5851
0.3696,0.0398,0.1025,0.2534,0.1613,0.0734,12.4884,33.0396
0.1692,0.2608,0.2222,0.0705,0.1950,0.0823,17.6102,27.0608
0.0010,0.3319,0.0231,0.1220,0.0649,0.4571,9.4163,36.3827
0.2738,0.0598,0.1109,0.4077,0.0641,0.0837,19.0229,27.1301
0.0123,0.1055,0.1056,0.2762,0.4771,0.0233,17.2444,21.4822
0.1462,0.0944,0.2932,0.0995,0.2675,0.0992,16.1495,28.4674
0.1921,0.1725,0.3166,0.1364,0.0675,0.1149,3.1546,35.6801
0.2479,0.3650,0.0063,0.0971,0.0925,0.1912,11.1863,34.1147
0.0614,0.1204,0.1041,0.6173,0.0300,0.0668,16.6719,22.5470
0.3563,0.2405,0.0586,0.0087,0.1668,0.1691,4.8431,37.8797
0.1544,0.2320,0.0722,0.0539,0.4366,0.0509,8.8377,35.1961
0.0272,0.1238,0.4621,0.1801,0.0747,0.1321,16.4461,23.5092
0.1632,0.1063,0.0629,0.2139,0.2239,0.2298,12.9245,34.6662
0.1904,0.0312,0.4710,0.1159,0.0662,0.1253,10.7215,30.9809
0.0339,0.0410,0.2772,0.1156,0.4201,0.1122,16.5145,23.8487
0.0974,0.4481,0.0919,0.2478,0.0736,0.0412,3.7349,31.4805
0.0714,0.0656,0.3399,0.0778,0.1318,0.3135,1.6220,42.0215
0.2069,0.2379,0.1721,0.0525,0.1455,0.1851,16.2650,31.2553
0.0031,0.2444,0.3462,0.2557,0.1207,0.0299,19.9848,19.1544
0.1006,0.2932,0.0561,0.0615,0.0950,0.3936,5.8109,41.6682
0.0057,0.2387,0.0592,0.2685,0.1804,0.2475,6.6788,34.4244
0.4051,0.1484,0.1262,0.1881,0.0273,0.1049,19.7463,26.9211
0.1718,0.0638,0.2210,0.2317,0.0017,0.3100,2.7635,42.3037
0.4514,0.1233,0.0619,0.1699,0.1551,0.0384,18.7214,27.5847
0.1452,0.0803,0.1999,0.1277,0.2980,0.1489,8.9494,35.6182
0.0990,0.1538,0.3538,0.1641,0.0671,0.1622,13.4916,28.8229
0.2946,0.1276,0.0174,0.0367,0.4783,0.0454,15.1154,34.1243
0.0309,0.1133,0.1848,0.0791,0.5164,0.0755,13.5081,27.1097
0.1860,0.0960,0.0405,0.4484,0.0767,0.1524,10.3482,33.8937
0.1025,0.0296,0.0703,0.3144,0.2380,0.2452,11.0996,32.7785
0.0639,0.6642,0.1173,0.1185,0.0104,0.0257,18.8950,18.8370
0.0274,0.2447,0.0387,0.3799,0.1956,0.1137,17.5733,24.2231
0.1068,0.3191,0.0967,0.0513,0.1036,0.3225,3.1729,41.6719
0.1036,0.0395,0.0255,0.3719,0.2831,0.1764,14.2231,29.0055
0.0917,0.6187,0.1015,0.0290,0.0903,0.0688,13.2588,25.5069
0.4664,0.0824,0.0200,0.3232,0.0512,0.0568,18.6739,27.4608
0.1612,0.2491,0.1799,0.0526,0.1610,0.1962,16.3736,30.8747
0.2565,0.2418,0.1071,0.1331,0.0243,0.2372,12.2634,34.4963
0.0488,0.0465,0.3006,0.2326,0.0690,0.3025,18.6312,24.4508
0.1362,0.0786,0.0010,0.2773,0.3206,0.1863,14.4423,31.5894
0.2330,0.0666,0.1424,0.4471,0.0004,0.1105,4.0869,36.3734
0.0305,0.0344,0.0725,0.0141,0.2879,0.5606,14.3123,26.5749
0.5588,0.0049,0.0024,0.3765,0.0122,0.0452,4.9659,32.6651
0.4767,0.0082,0.0175,0.4009,0.0322,0.0645,5.2004,34.7406
0.0015,0.1096,0.4688,0.3497,0.0403,0.0301,18.2156,18.4154
0.1051,0.0363,0.6070,0.0404,0.0992,0.1120,8.3364,30.3298
0.0870,0.2771,0.0147,0.0350,0.2912,0.2950,10.7872,36.9315
0.0800,0.1083,0.0501,0.1767,0.3600,0.2249,3.2848,41.2037
0.1815,0.1069,0.1779,0.1029,0.3283,0.1025,12.1508,33.3827
0.4761,0.0028,0.0629,0.2056,0.0115,0.2411,6.9160,39.3376
0.0652,0.1033,0.2153,0.0417,0.0024,0.5721,14.4134,33.4746
0.5686,0.0623,0.0246,0.0593,0.0121,0.2731,6.4536,38.6489
0.0640,0.1939,0.3446,0.1763,0.1336,0.0876,16.6696,24.5203
0.2671,0.2174,0.0338,0.0838,0.0506,0.3473,13.7469,37.7915
0.0649,0.2544,0.4397,0.0721,0.0274,0.1415,7.0129,30.9580
0.0256,0.2815,0.1531,0.3399,0.0037,0.1962,1.9726,36.7902
0.0154,0.1821,0.3328,0.0329,0.2104,0.2264,9.0091,32.3131
0.0845,0.0957,0.2057,0.2153,0.1650,0.2338,19.5136,25.4194
0.0081,0.0975,0.0967,0.0225,0.4767,0.2985,10.5271,29.8653
0.0135,0.6480,0.0246,0.1873,0.1068,0.0198,6.5716,27.6757
0.0262,0.0095,0.0570,0.2923,0.1448,0.4702,15.7548,23.8679
0.3430,0.4537,0.0349,0.1233,0.0326,0.0125,18.0246,20.8741
0.2821,0.1663,0.2494,0.1925,0.1001,0.0096,12.9562,26.8893
0.2644,0.0927,0.0926,0.1712,0.3097,0.0694,14.4317,32.6468
0.1012,0.0804,0.1750,0.5121,0.0503,0.0810,17.5151,23.5242
0.3358,0.1642,0.2404,0.0706,0.1512,0.0378,4.8955,32.8182
0.0528,0.4685,0.0731,0.1654,0.1414,0.0988,18.0752,25.1676
0.1160,0.1434,0.1992,0.1840,0.1201,0.2373,11.5279,33.4825
0.1419,0.1049,0.4774,0.0069,0.0324,0.2365,11.0845,32.6690
0.1897,0.0779,0.3800,0.2214,0.0036,0.1274,6.0992,33.6229
0.1973,0.3172,0.3053,0.0001,0.1040,0.0761,15.4696,26.1505
0.3679,0.2570,0.0812,0.1126,0.1438,0.0375,19.0135,25.7790
0.4628,0.3167,0.0958,0.0870,0.0363,0.0014,1.6025,27.7111
0.0363,0.1956,0.2089,0.2907,0.1598,0.1087,2.9272,35.1583
0.3116,0.1941,0.0653,0.0173,0.0050,0.4067,7.8110,42.3626
0.3536,0.0883,0.0869,0.1937,0.2313,0.0462,1.3434,38.5602
0.0039,0.1995,0.3095,0.2237,0.0666,0.1968,19.9613,22.1299
0.1065,0.4417,0.0846,0.1680,0.1307,0.0685,19.3933,24.1066
0.0372,0.3001,0.0881,0.0190,0.2786,0.2770,15.2505,31.0748
0.2576,0.4683,0.0802,0.1594,0.0223,0.0122,10.6113,24.3026
0.3203,0.0244,0.0458,0.0013,0.5650,0.0432,14.7961,35.8323
0.0681,0.0956,0.0662,0.0879,0.1008,0.5814,12.6729,34.4116
0.0378,0.1847,0.0722,0.4117,0.0675,0.2261,13.4867,28.4687
0.3641,0.0782,0.0909,0.3241,0.1004,0.0423,18.5730,27.3841
0.0683,0.0319,0.1815,0.1789,0.2507,0.2887,13.0600,30.1208
0.4884,0.0809,0.2312,0.0811,0.0187,0.0997,15.0363,28.1267
0.1083,0.2331,0.1839,0.0517,0.1944,0.2286,17.1823,30.0272
0.0187,0.0062,0.3629,0.0543,0.1862,0.3717,4.8845,35.6898
0.2746,0.1316,0.2916,0.1481,0.1358,0.0183,17.9169,25.0857
0.1245,0.0595,0.3746,0.1848,0.0616,0.1950,13.0709,30.2365
0.1346,0.0051,0.0450,0.1717,0.6349,0.0087,11.0420,32.1987
0.3366,0.2797,0.0335,0.0136,0.1171,0.2195,16.2008,33.3488
0.0282,0.0431,0.3158,0.0132,0.0956,0.5041,5.8830,37.7267
0.1440,0.0085,0.2259,0.2912,0.0586,0.2718,17.8904,28.3533
0.2232,0.1662,0.0593,0.4075,0.1332,0.0106,5.4891,33.4150
0.0320,0.0959,0.0709,0.1637,0.3847,0.2528,4.3338,37.2923
0.1243,0.2348,0.0361,0.0005,0.2988,0.3055,8.7621,39.8876
0.2016,0.2524,0.0077,0.0743,0.4557,0.0083,12.5695,32.7157
0.0179,0.2192,0.0894,0.0202,0.4574,0.1959,19.3321,24.5445
0.3145,0.0179,0.1696,0.0907,0.1412,0.2661,6.4199,41.8289
0.0970,0.3370,0.2600,0.0163,0.1925,0.0972,3.0866,35.1912
0.0884,0.1254,0.0278,0.2445,0.2282,0.2857,15.7981,29.8723
0.2363,0.1090,0.1353,0.0445,0.3038,0.1711,16.5898,33.1782
0.0502,0.1166,0.1471,0.1082,0.0755,0.5024,8.4056,37.5724
0.3079,0.1067,0.1290,0.0413,0.2978,0.1173,8.9047,37.3048
0.0347,0.0510,0.1553,0.3748,0.0986,0.2856,1.0732,40.4459
0.0094,0.3306,0.2490,0.2043,0.1889,0.0178,13.2883,24.6084
0.1828,0.4534,0.0845,0.0410,0.1112,0.1271,6.7423,33.1265
0.1030,0.2597,0.0230,0.0194,0.3367,0.2582,14.8898,33.6373
0.0007,0.0889,0.0289,0.0200,0.2071,0.6544,3.2051,38.8665
0.0734,0.0643,0.4560,0.0201,0.0921,0.2941,16.1871,28.5093
0.0886,0.0338,0.0964,0.1247,0.5234,0.1331,13.8370,29.0590
0.1476,0.4045,0.0917,0.0976,0.1080,0.1506,12.9662,30.7739
0.0565,0.3083,0.1774,0.1441,0.1622,0.1515,13.3067,29.4609
0.0762,0.0658,0.2587,0.2425,0.1151,0.2417,15.7487,27.7517
0.0918,0.2144,0.1734,0.3552,0.1270,0.0382,9.8931,28.8195
0.3018,0.2240,0.0083,0.2486,0.2143,0.0030,16.7038,27.9111
0.1086,0.3438,0.0366,0.0277,0.3932,0.0901,11.2790,33.2776
0.0101,0.4148,0.0437,0.0587,0.2301,0.2426,18.2557,27.9145
0.0202,0.0908,0.1216,0.1711,0.1919,0.4044,12.2826,29.8272
0.2633,0.4204,0.2200,0.0531,0.0252,0.0180,16.6295,20.8286
0.3923,0.0695,0.2294,0.0886,0.1660,0.0542,6.3744,33.8578
0.1085,0.0083,0.0462,0.3641,0.1686,0.3043,18.6725,25.7385
0.0427,0.0386,0.2607,0.1620,0.3720,0.1240,14.7381,25.6954
0.1801,0.4871,0.0530,0.0842,0.0961,0.0995,18.4738,25.7198
0.0827,0.0151,0.3978,0.3043,0.1185,0.0816,4.4532,32.9475
0.0152,0.0535,0.2057,0.1707,0.5146,0.0403,18.5266,20.3063
0.0782,0.0215,0.0027,0.1163,0.6212,0.1601,19.3405,22.0107
0.0225,0.3273,0.0277,0.0268,0.1737,0.4220,4.4229,41.7718
0.4791,0.0713,0.1607,0.0567,0.0861,0.1461,7.3020,35.1491
0.1051,0.4063,0.1020,0.2178,0.1242,0.0446,12.2288,27.4672
0.2880,0.0828,0.1175,0.1418,0.2432,0.1267,10.3710,36.2939
0.1402,0.4019,0.0265,0.0087,0.3430,0.0797,11.9221,32.3673
0.3261,0.2186,0.0749,0.0346,0.1101,0.2357,18.0418,32.9831
0.5617,0.1301,0.0220,0.0549,0.0415,0.1898,7.4720,35.0808
0.4052,0.0117,0.4164,0.0647,0.0892,0.0128,17.8115,24.1454
0.3017,0.2712,0.2114,0.0505,0.0965,0.0687,5.2688,32.0586
0.2526,0.0378,0.1084,0.0538,0.2956,0.2518,11.3414,39.4532
0.1471,0.1201,0.1267,0.0060,0.3583,0.2418,1.0155,45.7298
0.1274,0.2909,0.0027,0.2227,0.0088,0.3475,5.5972,40.5234
0.1125,0.2619,0.1757,0.1357,0.2789,0.0353,9.2729,31.2730
0.0008,0.0332,0.3645,0.4355,0.0711,0.0949,13.5984,22.4495
0.0796,0.1969,0.0087,0.0860,0.4376,0.1912,15.2365,30.6945
0.0248,0.0004,0.0628,0.4285,0.2213,0.2622,6.4476,31.0352
0.2118,0.0496,0.0381,0.1413,0.2599,0.2993,8.3962,41.7914
0.3782,0.1571,0.1266,0.0524,0.2765,0.0092,8.0907,32.7727
0.3549,0.0779,0.0441,0.1008,0.3899,0.0324,7.7350,37.3995
0.2063,0.0566,0.1265,0.3136,0.2864,0.0106,8.4848,33.6865
0.4307,0.1168,0.2411,0.1106,0.0374,0.0634,1.1214,33.7783
0.5896,0.0107,0.2494,0.1299,0.0085,0.0119,9.0582,25.6294
0.1040,0.3337,0.2056,0.0893,0.2397,0.0277,3.6980,33.4999
0.2086,0.2668,0.0672,0.0375,0.2567,0.1632,8.4323,37.1207
0.0367,0.2196,0.0224,0.1346,0.5560,0.0307,4.2799,36.1613
0.1205,0.1598,0.0234,0.2431,0.1478,0.3054,2.8690,43.2516
0.1853,0.1748,0.0187,0.0543,0.0266,0.5403,13.5259,40.6856
0.0829,0.2601,0.2472,0.0551,0.0185,0.3362,17.7782,29.9087
0.0207,0.1586,0.0701,0.3718,0.2796,0.0992,4.2863,33.9757
0.0209,0.3533,0.0095,0.2468,0.0425,0.3270,6.0870,37.2626
0.1473,0.2970,0.3263,0.2116,0.0158,0.0020,2.1929,29.5063
0.1985,0.1330,0.0326,0.3718,0.0966,0.1675,17.4107,29.7324
0.0986,0.1758,0.1420,0.1023,0.1183,0.3630,8.8913,38.1333
0.4631,0.0858,0.0709,0.1521,0.2161,0.0120,4.0006,34.4798
0.0879,0.1494,0.3570,0.0619,0.3108,0.0330,4.6719,33.7224
0.0542,0.0663,0.0231,0.1711,0.4522,0.2331,2.8250,40.3633
0.0596,0.0830,0.3521,0.1789,0.0933,0.2331,6.4581,34.5001
0.0885,0.2906,0.0009,0.4784,0.0615,0.0801,7.9642,31.2482
0.1804,0.2577,0.1523,0.0804,0.2201,0.1091,5.2330,36.3226
0.3338,0.4266,0.0839,0.1093,0.0450,0.0014,10.2372,23.9276
0.0718,0.0058,0.1578,0.4296,0.2111,0.1239,6.4899,32.6715
0.0666,0.1544,0.1147,0.4774,0.0426,0.1443,11.5773,28.8511
0.0212,0.5434,0.0522,0.2076,0.1473,0.0283,11.2070,26.5256
0.2756,0.1802,0.1742,0.0148,0.2445,0.1107,8.3755,35.5739
0.0026,0.7153,0.2167,0.0096,0.0317,0.0241,14.8930,19.6006
0.0017,0.4099,0.0288,0.1886,0.3227,0.0483,8.7333,30.6289
0.0644,0.0686,0.4675,0.0890,0.1874,0.1231,14.2331,26.6416
0.0777,0.1855,0.1456,0.0607,0.3966,0.1339,14.1431,30.3237
0.0157,0.0513,0.0723,0.0313,0.7137,0.1157,1.4364,38.2281
0.4935,0.0811,0.0314,0.1687,0.1190,0.1063,5.8577,35.7295
0.1194,0.0327,0.1128,0.0402,0.2864,0.4085,4.8172,43.9576
0.0394,0.0584,0.1727,0.3477,0.1291,0.2527,3.2820,37.0572
0.0918,0.0090,0.0117,0.0925,0.5895,0.2055,19.4721,22.8141
0.4602,0.1748,0.0257,0.1479,0.0717,0.1197,9.2896,33.1353
0.0738,0.1048,0.0786,0.1792,0.4029,0.1607,19.5887,24.2484
0.2143,0.2744,0.3554,0.0262,0.0411,0.0886,6.8185,30.4732
0.1823,0.0889,0.1415,0.1818,0.2624,0.1431,16.0329,30.9491
0.0974,0.0424,0.0760,0.3999,0.1838,0.2005,15.3442,27.8200
0.1167,0.1986,0.2234,0.0484,0.0618,0.3511,13.6756,34.3571
0.2212,0.0202,0.2163,0.0912,0.2497,0.2014,1.5081,43.9287
0.2038,0.2632,0.0103,0.0214,0.3128,0.1885,16.2909,33.7522
0.4301,0.2216,0.0235,0.0030,0.0901,0.2317,5.5836,38.2384
0.3991,0.2001,0.3287,0.0064,0.0527,0.0130,9.9549,24.9530
0.0292,0.0252,0.4148,0.1668,0.0277,0.3363,16.0209,26.0402
0.0334,0.1615,0.4031,0.2132,0.0213,0.1675,3.1879,34.2429
0.0545,0.2841,0.0041,0.1659,0.4196,0.0718,18.9976,25.3485
0.0431,0.0614,0.0515,0.2774,0.1848,0.3818,2.2062,41.4500
0.0692,0.1187,0.3943,0.0269,0.0263,0.3646,2.2115,41.3061
0.0189,0.6680,0.0099,0.2178,0.0240,0.0614,3.4813,30.0263
0.0620,0.4277,0.2716,0.0572,0.0523,0.1292,4.2090,32.6943
0.0161,0.1988,0.0977,0.2763,0.1470,0.2641,19.4198,23.8408
0.0437,0.0645,0.0753,0.2292,0.3021,0.2852,18.8115,23.0929
0.0655,0.3601,0.0717,0.1605,0.0271,0.3151,5.6163,38.2518
0.0027,0.1225,0.0884,0.1762,0.5991,0.0111,10.3061,27.1177
0.1513,0.1063,0.0830,0.1348,0.3900,0.1346,10.9291,35.1011
0.1761,0.0484,0.4269,0.1176,0.0912,0.1398,15.4064,28.5209
0.0496,0.0456,0.0424,0.5078,0.1176,0.2370,17.5848,23.1787
0.1763,0.1271,0.3118,0.0815,0.2188,0.0845,12.4541,30.7071
0.1539,0.1193,0.0883,0.0197,0.1178,0.5010,19.7993,32.6175
0.1113,0.3306,0.1378,0.1644,0.0408,0.2151,4.5776,36.8729
0.0051,0.0337,0.1186,0.5206,0.2267,0.0953,16.1578,20.6168
0.0742,0.0409,0.1536,0.0832,0.0740,0.5741,7.7930,39.2282
0.1818,0.1898,0.0189,0.1047,0.0783,0.4265,8.5110,42.3875
0.0849,0.2581,0.0352,0.0278,0.3708,0.2232,3.3160,41.9153
0.0029,0.4000,0.0705,0.0138,0.4382,0.0746,13.7216,28.7986
0.0577,0.4323,0.0625,0.2050,0.2183,0.0242,15.0416,25.8499
0.2276,0.1636,0.0385,0.1833,0.0324,0.3546,8.9636,40.5302
0.0730,0.0202,0.0313,0.3521,0.3904,0.1330,5.2957,35.3546
0.0143,0.4527,0.0376,0.0103,0.4594,0.0257,11.0012,30.2591
0.3467,0.3324,0.0423,0.1964,0.0604,0.0218,18.8807,23.3144
0.2758,0.4182,0.0188,0.0055,0.2371,0.0446,1.9560,34.8469
0.0109,0.1854,0.6435,0.1150,0.0447,0.0005,10.6251,21.7671
0.0705,0.2720,0.2126,0.3734,0.0384,0.0331,18.9388,21.0925
0.3496,0.1349,0.0862,0.1603,0.0038,0.2652,5.0743,39.9459
0.0277,0.2137,0.2233,0.4526,0.0816,0.0011,8.3892,26.2660
0.4873,0.1985,0.1001,0.0714,0.0275,0.1152,8.0494,31.3172
0.1665,0.0396,0.0833,0.1711,0.0241,0.5154,18.9943,32.2209
0.1944,0.0386,0.0766,0.0559,0.1152,0.5193,10.2007,43.1155
0.1645,0.3838,0.0296,0.1331,0.2790,0.0100,13.9965,28.4674
0.2424,0.2259,0.2487,0.0975,0.0796,0.1059,3.1213,35.2467
0.1477,0.1166,0.3039,0.1421,0.0015,0.2882,14.2769,32.2143
0.2687,0.0553,0.0667,0.2325,0.3126,0.0642,12.6891,34.0274
0.1000,0.0125,0.2065,0.0191,0.2297,0.4322,11.6935,35.2113
0.0898,0.1546,0.0845,0.4542,0.2108,0.0061,7.1776,31.0691
0.2052,0.1319,0.3370,0.0880,0.0714,0.1665,7.1928,34.9846
0.0240,0.2985,0.1053,0.2066,0.2829,0.0827,2.6209,36.1191
0.1091,0.0114,0.0641,0.2865,0.4901,0.0388,8.3007,33.1928
0.1685,0.0153,0.2904,0.0552,0.4055,0.0651,2.8966,39.7567
0.0893,0.4900,0.2010,0.0480,0.1589,0.0128,9.1989,26.8643
0.1010,0.1369,0.1281,0.2752,0.0571,0.3017,19.2776,27.3725
0.2161,0.0447,0.2095,0.3871,0.0596,0.0830,11.4163,30.7851
0.2874,0.0303,0.2041,0.1453,0.0026,0.3303,19.0707,33.2565
0.4467,0.0056,0.0032,0.0673,0.4554,0.0218,18.9663,32.8848
0.1525,0.0790,0.3102,0.1619,0.1343,0.1621,4.7634,37.2387
0.1104,0.0784,0.0618,0.1332,0.5374,0.0788,2.3940,41.6346
0.0473,0.1558,0.0361,0.1546,0.1443,0.4619,10.3344,35.4388
0.1570,0.0089,0.3324,0.1497,0.1503,0.2017,15.0192,30.5441
0.2998,0.0627,0.0910,0.1111,0.1265,0.3089,18.1714,35.2633
